,amount,duration,payments,status,avg_balance_3M_befroe_loan,avg_balance_1M_befroe_loan,trans_freq,min_balance_befroe_loan,avg_amount_trans_before_loan,avg_balance_before_loan,times_balance_below_500,times_balance_below_5K,frequency,order_amount_LEASING,order_amount_No_symbol,order_amount_POJISTNE,order_amount_SIPO,order_amount_UVER,type,age,sex,A1,A4,A5,A6,A7,A8,A9,A10,A11,A13,A14,A16,amount_POJISTNE,amount_SANKC. UROK,amount_SIPO,amount_SLUZBY,amount_UROK,amount_UVER,amount_k_symbol_missing,balance_POJISTNE,balance_SANKC. UROK,balance_SIPO,balance_SLUZBY,balance_UROK,balance_UVER,balance_k_symbol_missing,years_of_loan,years_of_account,years_card_issued,age_bin
0,96396,12,8033.0,1,15966.666666666666,20100.0,4,1100.0,5025.0,12250.0,0.0,0.0,7,0.0,0.0,0.0,0.0,8033.2,0.0,52,0,30,94812,15,13,8,2,10,81.8,9650,3.67,100,2804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,6,0,50
1,165960,36,4610.0,0,56036.57586206897,39688.53,37,700.0,11015.635135135135,52083.85945945946,0.0,2.0,30,0.0,3419.0,956.0,4167.0,4610.0,0.0,31,1,46,112709,48,20,7,3,10,73.5,8369,2.31,117,2618,179.25,0.0,520.875,2.7375,52.66875,0.0,641.0625,8042.38125,0.0,7672.2625,9716.19375,14397.4125,0.0,11456.19375,6,6,0,25
2,127080,60,2118.0,0,32168.265000000003,31202.192857142858,24,800.0,5417.458333333333,30060.954166666666,0.0,0.0,30,0.0,471.0,66.0,7936.0,2118.3,0.0,63,1,45,77917,85,19,6,1,5,53.5,8390,2.89,132,2122,6.0,0.0,721.4545454545455,0.0,67.36363636363636,0.0,42.81818181818182,4334.527272727273,0.0,3613.0727272727277,0.0,20087.736363636363,0.0,3088.4363636363637,6,6,0,50
3,105804,36,2939.0,0,46378.6375,42535.13333333333,25,1000.0,8253.08,41297.48,0.0,0.0,30,0.0,0.0,0.0,6994.0,2938.7,1.0,59,0,14,177686,69,27,10,1,9,74.8,10045,1.71,135,6295,0.0,0.0,1554.2222222222222,3.2444444444444445,89.0888888888889,0.0,0.0,0.0,0.0,11781.522222222222,8175.988888888888,22536.01111111111,0.0,0.0,6,6,1,50
4,274740,60,4579.0,0,60804.54705882353,49872.75714285714,27,600.0,18945.966666666667,57188.21111111111,0.0,0.0,7,0.0,9499.0,0.0,756.0,4579.0,0.0,21,1,63,86513,38,36,5,1,5,50.5,8288,4.52,110,1460,0.0,0.0,68.72727272727273,5.454545454545454,103.73636363636363,0.0,1727.090909090909,0.0,0.0,3765.009090909091,7571.272727272727,26517.281818181815,0.0,7968.454545454545,6,6,4,20
5,87840,24,3660.0,0,57919.48181818182,60175.525,17,500.0,9496.929411764706,46318.55294117647,0.0,0.0,30,0.0,1288.0,646.0,1915.0,3659.8,0.0,19,0,13,53921,61,22,1,1,2,41.3,8598,3.26,123,1875,0.0,0.0,0.0,0.0,154.10000000000002,0.0,0.0,0.0,0.0,0.0,0.0,52758.7,0.0,0.0,6,6,0,20
6,52788,12,4399.0,0,20615.732,20471.9625,43,1000.0,3714.8976744186048,22198.17906976744,0.0,0.0,30,0.0,2607.0,0.0,506.0,4399.0,0.0,26,1,15,58796,22,16,7,1,5,51.9,9045,3.6,124,1879,0.0,0.0,112.44444444444444,2.433333333333333,35.099999999999994,0.0,579.3333333333334,0.0,0.0,4531.35,3100.733333333333,8779.761111111111,0.0,4643.794444444445,6,6,0,25
7,174744,24,7281.0,1,21443.410526315787,26301.042857142857,32,1000.0,11557.95,37485.45625,0.0,0.0,30,0.0,0.0,0.0,0.0,7281.3,0.0,51,0,24,122603,25,21,6,2,8,80.0,8991,2.01,128,5273,0.0,0.0,1550.0,3.65,70.63333333333334,0.0,0.0,0.0,0.0,8350.4,4795.233333333334,20643.941666666666,0.0,0.0,6,6,0,50
8,154416,48,3217.0,0,44006.81764705882,42201.95,32,8897.0,9740.15,46715.8,0.0,0.0,7,0.0,0.0,0.0,0.0,3216.7,0.0,30,0,18,70699,60,13,2,1,4,65.3,8968,3.35,131,1910,0.0,0.0,0.0,12.0,92.17999999999999,0.0,0.0,0.0,0.0,0.0,21531.05,26575.879999999997,0.0,0.0,6,6,0,25
9,117024,24,4876.0,0,54099.455555555556,61054.63333333333,13,800.0,14122.576923076924,44131.16923076923,0.0,0.0,30,0.0,0.0,0.0,0.0,4875.8,1.0,64,1,14,177686,69,27,10,1,9,74.8,10045,1.71,135,6295,0.0,0.0,0.0,0.0,143.375,0.0,0.0,0.0,0.0,0.0,0.0,42404.35,0.0,0.0,6,6,3,50
